airbnb_listing_id,diaria_mediana_anunciada,datas_validas,cenario,ocupacao_assumida,dias_ano,natureza,noites_ocupadas_assumidas,potencial_bruto_anualizado
1052490589225547467,700.0,67,base,0.55,365,hipotese_de_sensibilidade,200.75000000000003,140525.0
1052490589225547467,700.0,67,otimista,0.7,365,hipotese_de_sensibilidade,255.49999999999997,178850.0
1053030252161966865,280.0,83,conservador,0.4,365,hipotese_de_sensibilidade,146.0,40880.0
1053030252161966865,280.0,83,base,0.55,365,hipotese_de_sensibilidade,200.75000000000003,56210.0
1053030252161966865,280.0,83,otimista,0.7,365,hipotese_de_sensibilidade,255.49999999999997,71540.0
1053425333694349352,185.0,48,conservador,0.4,365,hipotese_de_sensibilidade,146.0,27010.0
1053425333694349352,185.0,48,base,0.55,365,hipotese_de_sensibilidade,200.75000000000003,37138.75
1053425333694349352,185.0,48,otimista,0.7,365,hipotese_de_sensibilidade,255.49999999999997,47267.5
1053522951026570547,599.5,86,conservador,0.4,365,hipotese_de_sensibilidade,146.0,87527.0
1053522951026570547,599.5,86,base,0.55,365,hipotese_de_sensibilidade,200.75000000000003,120349.63
1053522951026570547,599.5,86,otimista,0.7,365,hipotese_de_sensibilidade,255.49999999999997,153172.25
1053625763515857065,450.0,72,conservador,0.4,365,hipotese_de_sensibilidade,146.0,65700.0
1053625763515857065,450.0,72,base,0.55,365,hipotese_de_sensibilidade,200.75000000000003,90337.5
1053625763515857065,450.0,72,otimista,0.7,365,hipotese_de_sensibilidade,255.49999999999997,114975.0
1053851019443958006,499.0,90,conservador,0.4,365,hipotese_de_sensibilidade,146.0,72854.0
1053851019443958006,499.0,90,base,0.55,365,hipotese_de_sensibilidade,200.75000000000003,100174.25
1053851019443958006,499.0,90,otimista,0.7,365,hipotese_de_sensibilidade,255.49999999999997,127494.5
1054265461023254222,500.0,67,conservador,0.4,365,hipotese_de_sensibilidade,146.0,73000.0
1054265461023254222,500.0,67,base,0.55,365,hipotese_de_sensibilidade,200.75000000000003,100375.0
1054265461023254222,500.0,67,otimista,0.7,365,hipotese_de_sensibilidade,255.49999999999997,127750.0
1055163452693752832,500.0,72,conservador,0.4,365,hipotese_de_sensibilidade,146.0,73000.0
1055163452693752832,500.0,72,base,0.55,365,hipotese_de_sensibilidade,200.75000000000003,100375.0
1055163452693752832,500.0,72,otimista,0.7,365,hipotese_de_sensibilidade,255.49999999999997,127750.0
1056816282920055514,540.0,63,conservador,0.4,365,hipotese_de_sensibilidade,146.0,78840.0
1056816282920055514,540.0,63,base,0.55,365,hipotese_de_sensibilidade,200.75000000000003,108405.0
1056816282920055514,540.0,63,otimista,0.7,365,hipotese_de_sensibilidade,255.49999999999997,137970.0
1056827534457537585,299.0,92,conservador,0.4,365,hipotese_de_sensibilidade,146.0,43654.0
1056827534457537585,299.0,92,base,0.55,365,hipotese_de_sensibilidade,200.75000000000003,60024.25
1056827534457537585,299.0,92,otimista,0.7,365,hipotese_de_sensibilidade,255.49999999999997,76394.5
1057137469420115073,619.0,78,conservador,0.4,365,hipotese_de_sensibilidade,146.0,90374.0
1057137469420115073,619.0,78,base,0.55,365,hipotese_de_sensibilidade,200.75000000000003,124264.25
1057137469420115073,619.0,78,otimista,0.7,365,hipotese_de_sensibilidade,255.49999999999997,158154.5
1057964852411462810,250.0,77,conservador,0.4,365,hipotese_de_sensibilidade,146.0,36500.0
1057964852411462810,250.0,77,base,0.55,365,hipotese_de_sensibilidade,200.75000000000003,50187.5
1057964852411462810,250.0,77,otimista,0.7,365,hipotese_de_sensibilidade,255.49999999999997,63875.0
1058193595817353204,400.0,33,conservador,0.4,365,hipotese_de_sensibilidade,146.0,58400.0
1058193595817353204,400.0,33,base,0.55,365,hipotese_de_sensibilidade,200.75000000000003,80300.0
1058193595817353204,400.0,33,otimista,0.7,365,hipotese_de_sensibilidade,255.49999999999997,102200.0
1058777213156843238,360.0,26,conservador,0.4,365,hipotese_de_sensibilidade,146.0,52560.0
1058777213156843238,360.0,26,base,0.55,365,hipotese_de_sensibilidade,200.75000000000003,72270.0
1058777213156843238,360.0,26,otimista,0.7,365,hipotese_de_sensibilidade,255.49999999999997,91980.0
1060712994513047104,422.5,78,conservador,0.4,365,hipotese_de_sensibilidade,146.0,61685.0
1060712994513047104,422.5,78,base,0.55,365,hipotese_de_sensibilidade,200.75000000000003,84816.88
1060712994513047104,422.5,78,otimista,0.7,365,hipotese_de_sensibilidade,255.49999999999997,107948.75
1062221285605590578,500.0,82,conservador,0.4,365,hipotese_de_sensibilidade,146.0,73000.0
1062221285605590578,500.0,82,base,0.55,365,hipotese_de_sensibilidade,200.75000000000003,100375.0
1062221285605590578,500.0,82,otimista,0.7,365,hipotese_de_sensibilidade,255.49999999999997,127750.0
1062615116593634676,400.0,66,conservador,0.4,365,hipotese_de_sensibilidade,146.0,58400.0
1062615116593634676,400.0,66,base,0.55,365,hipotese_de_sensibilidade,200.75000000000003,80300.0
