variavel,coeficiente_log,erro_padrao_hc3,limite_inferior_log_95,limite_superior_log_95,associacao_percentual_aproximada,limite_inferior_percentual_95,limite_superior_percentual_95,rotulo,cenario_modelo,anuncios_modelo,r_quadrado,referencias_categoricas,interpretacao
comodidade_elevador,0.0017979470083555951,0.027458586147835817,-0.052020881841402605,0.055616775858113796,0.17995642841915324,-5.069095668497015,5.719246442167181,Com elevador,corte_14_datas,959,0.552465714504489,quartos_faixa=2; capacidade_faixa=5–6; banheiros_faixa=2; tipo_agrupado=apartamento; bairro_modelo=meiapraia,associacao_condicional_nao_causal
comodidade_churrasqueira,0.056226342990860254,0.02906616693544683,-0.0007433442026155285,0.11319603018433604,5.783709065249167,-0.07430679907581476,11.985143611671074,Com churrasqueira,corte_14_datas,959,0.552465714504489,quartos_faixa=2; capacidade_faixa=5–6; banheiros_faixa=2; tipo_agrupado=apartamento; bairro_modelo=meiapraia,associacao_condicional_nao_causal
comodidade_vista_praia,0.14539167087370286,0.0262111122296982,0.09401789090349438,0.19676545084391134,15.649244597986694,9.857940031938774,21.745845336227333,Com menção a vista para praia/mar,corte_14_datas,959,0.552465714504489,quartos_faixa=2; capacidade_faixa=5–6; banheiros_faixa=2; tipo_agrupado=apartamento; bairro_modelo=meiapraia,associacao_condicional_nao_causal
comodidade_estacionamento,0.05006062257336444,0.04374798497900771,-0.03568542798549068,0.13580667313221956,5.133482906699037,-3.5056209943217564,14.546042391161022,Com estacionamento,corte_14_datas,959,0.552465714504489,quartos_faixa=2; capacidade_faixa=5–6; banheiros_faixa=2; tipo_agrupado=apartamento; bairro_modelo=meiapraia,associacao_condicional_nao_causal
quartos_faixa_0 (studio),0.00304203606803362,0.1274168395188284,-0.24669496938887003,0.2527790415249373,0.30466677551488086,-21.862099830170205,28.75987395463426,quartos faixa 0 (studio),corte_14_datas,959,0.552465714504489,quartos_faixa=2; capacidade_faixa=5–6; banheiros_faixa=2; tipo_agrupado=apartamento; bairro_modelo=meiapraia,associacao_condicional_nao_causal
quartos_faixa_1,-0.0016669860636249582,0.06907265252900592,-0.13704938502047656,0.13371541289322667,-0.16655974140837873,-12.807283507206508,14.306747108739692,quartos faixa 1,corte_14_datas,959,0.552465714504489,quartos_faixa=2; capacidade_faixa=5–6; banheiros_faixa=2; tipo_agrupado=apartamento; bairro_modelo=meiapraia,associacao_condicional_nao_causal
quartos_faixa_3,0.2086081733352364,0.03793858283844371,0.13424855097188673,0.2829677956985861,23.1962188312112,14.36770463621681,32.70624240106924,quartos faixa 3,corte_14_datas,959,0.552465714504489,quartos_faixa=2; capacidade_faixa=5–6; banheiros_faixa=2; tipo_agrupado=apartamento; bairro_modelo=meiapraia,associacao_condicional_nao_causal
quartos_faixa_4+,0.5323879548475111,0.06622524607358284,0.4025864725432887,0.6621894371517335,70.2994130053449,49.568825560052815,93.9033081350271,quartos faixa 4+,corte_14_datas,959,0.552465714504489,quartos_faixa=2; capacidade_faixa=5–6; banheiros_faixa=2; tipo_agrupado=apartamento; bairro_modelo=meiapraia,associacao_condicional_nao_causal
capacidade_faixa_1–2,-0.33025956190988487,0.0863479892752414,-0.499501620889358,-0.16101750293041173,-28.12628475696769,-39.316698273851706,-14.872282886833252,capacidade faixa 1–2,corte_14_datas,959,0.552465714504489,quartos_faixa=2; capacidade_faixa=5–6; banheiros_faixa=2; tipo_agrupado=apartamento; bairro_modelo=meiapraia,associacao_condicional_nao_causal
capacidade_faixa_3–4,-0.09881401510408987,0.0499499827855773,-0.19671598136382137,-0.0009120488443583596,-9.408882184721428,-17.857610011916776,-0.0911633054227688,capacidade faixa 3–4,corte_14_datas,959,0.552465714504489,quartos_faixa=2; capacidade_faixa=5–6; banheiros_faixa=2; tipo_agrupado=apartamento; bairro_modelo=meiapraia,associacao_condicional_nao_causal
capacidade_faixa_7+,0.005705786860333958,0.03474510741243713,-0.06239462366804281,0.07380619738871073,0.5722095865997425,-6.048794006788725,7.659813774629121,capacidade faixa 7+,corte_14_datas,959,0.552465714504489,quartos_faixa=2; capacidade_faixa=5–6; banheiros_faixa=2; tipo_agrupado=apartamento; bairro_modelo=meiapraia,associacao_condicional_nao_causal
banheiros_faixa_3,0.19940640178199834,0.035155444061896655,0.1305017314206809,0.2683110721433158,22.067795080292417,13.939991267242538,30.77538825516947,banheiros faixa 3,corte_14_datas,959,0.552465714504489,quartos_faixa=2; capacidade_faixa=5–6; banheiros_faixa=2; tipo_agrupado=apartamento; bairro_modelo=meiapraia,associacao_condicional_nao_causal
banheiros_faixa_4+,0.36689099152338345,0.061515123489252116,0.2463213494844493,0.4874606335623176,44.3240585082391,27.93106133005284,62.81764293779444,banheiros faixa 4+,corte_14_datas,959,0.552465714504489,quartos_faixa=2; capacidade_faixa=5–6; banheiros_faixa=2; tipo_agrupado=apartamento; bairro_modelo=meiapraia,associacao_condicional_nao_causal
banheiros_faixa_até 1,-0.14862166796837886,0.040793234931618814,-0.22857640843435173,-0.06866692750240598,-13.810486423924123,-20.43345006732924,-6.636240269727936,banheiros faixa até 1,corte_14_datas,959,0.552465714504489,quartos_faixa=2; capacidade_faixa=5–6; banheiros_faixa=2; tipo_agrupado=apartamento; bairro_modelo=meiapraia,associacao_condicional_nao_causal
tipo_agrupado_casa,0.04565551827395593,0.06460699553886727,-0.08097419298222393,0.1722852295301358,4.6713775076355795,-7.778250917930969,18.801664232111044,tipo agrupado casa,corte_14_datas,959,0.552465714504489,quartos_faixa=2; capacidade_faixa=5–6; banheiros_faixa=2; tipo_agrupado=apartamento; bairro_modelo=meiapraia,associacao_condicional_nao_causal
tipo_agrupado_outros,-0.42613813163844894,0.1139227510681559,-0.6494267237320345,-0.20284953954486337,-34.69738676792021,-47.76548609839357,-18.359893173860794,tipo agrupado outros,corte_14_datas,959,0.552465714504489,quartos_faixa=2; capacidade_faixa=5–6; banheiros_faixa=2; tipo_agrupado=apartamento; bairro_modelo=meiapraia,associacao_condicional_nao_causal
bairro_modelo_centro,-0.03613683745995963,0.0381994190808077,-0.11100769885834272,0.038734023938423456,-3.5491696413624845,-10.506814105109989,3.9493966367092126,bairro modelo centro,corte_14_datas,959,0.552465714504489,quartos_faixa=2; capacidade_faixa=5–6; banheiros_faixa=2; tipo_agrupado=apartamento; bairro_modelo=meiapraia,associacao_condicional_nao_causal
bairro_modelo_morretes,-0.11794955811211338,0.0466249301160165,-0.20933442113950573,-0.02656469508472105,-11.125911874812033,-18.88760667087326,-2.6214957308212186,bairro modelo morretes,corte_14_datas,959,0.552465714504489,quartos_faixa=2; capacidade_faixa=5–6; banheiros_faixa=2; tipo_agrupado=apartamento; bairro_modelo=meiapraia,associacao_condicional_nao_causal
bairro_modelo_outros_bairros,-0.03632078078863876,0.05525873667631466,-0.1446279046742155,0.07198634309693797,-3.566909496538494,-13.465577624656353,7.464066770017172,bairro modelo outros bairros,corte_14_datas,959,0.552465714504489,quartos_faixa=2; capacidade_faixa=5–6; banheiros_faixa=2; tipo_agrupado=apartamento; bairro_modelo=meiapraia,associacao_condicional_nao_causal
intercepto,6.431428667696836,0.12259325299658462,6.19114589182353,6.671711443570142,62006.06037160267,48740.54454886387,78874.60543303628,intercepto,corte_30_datas,859,0.5797211877162307,quartos_faixa=2; capacidade_faixa=5–6; banheiros_faixa=2; tipo_agrupado=apartamento; bairro_modelo=meiapraia,associacao_condicional_nao_causal
