dimensao,categoria,anuncios_totais,anuncios_elegiveis,diaria_mediana_anunciada,diaria_p25_anunciada,diaria_p75_anunciada,premio_fim_semana_mediano_percentual,cobertura_elegivel_percentual,potencial_bruto_anualizado_base,status_amostra,ranking,periodo_estadias,unidade_diaria,fonte,corte_datas,tratamento_extremos
perfil_combinado,outros | 4+ quarto(s) | 7+ hóspede(s),2,0,,,,,0.0,,nao_ranqueavel,,2025-01-07 a 2025-04-20,R$ por noite anunciada,"Airbnb, preços anunciados; capturas de 2025-01-06 a 2025-01-20",7,amostra_completa
bairro,meiapraia,2860,625,590.0,430.0,800.0,0.0,21.853146853146853,118442.50000000001,ranqueavel,1,2025-01-07 a 2025-04-20,R$ por noite anunciada,"Airbnb, preços anunciados; capturas de 2025-01-06 a 2025-01-20",7,amostra_completa
bairro,tabuleirodosoliveiras,129,20,540.0,395.25,665.5,0.0,15.503875968992247,108405.00000000001,ranqueavel,2,2025-01-07 a 2025-04-20,R$ por noite anunciada,"Airbnb, preços anunciados; capturas de 2025-01-06 a 2025-01-20",7,amostra_completa
bairro,centro,657,205,509.0,383.0,715.0,0.0,31.202435312024352,102181.75000000001,ranqueavel,3,2025-01-07 a 2025-04-20,R$ por noite anunciada,"Airbnb, preços anunciados; capturas de 2025-01-06 a 2025-01-20",7,amostra_completa
bairro,morretes,441,82,470.5,350.0,600.0,0.0,18.594104308390023,94452.87500000001,ranqueavel,4,2025-01-07 a 2025-04-20,R$ por noite anunciada,"Airbnb, preços anunciados; capturas de 2025-01-06 a 2025-01-20",7,amostra_completa
bairro,ilhota,56,10,495.0,350.0,588.75,0.0,17.857142857142858,99371.25000000001,exploratorio,,2025-01-07 a 2025-04-20,R$ por noite anunciada,"Airbnb, preços anunciados; capturas de 2025-01-06 a 2025-01-20",7,amostra_completa
bairro,casabranca,88,15,349.0,290.0,385.0,0.0,17.045454545454543,70061.75,exploratorio,,2025-01-07 a 2025-04-20,R$ por noite anunciada,"Airbnb, preços anunciados; capturas de 2025-01-06 a 2025-01-20",7,amostra_completa
bairro,ausente,5,3,709.0,649.5,754.5,0.0,60.0,142331.75,nao_ranqueavel,,2025-01-07 a 2025-04-20,R$ por noite anunciada,"Airbnb, preços anunciados; capturas de 2025-01-06 a 2025-01-20",7,amostra_completa
bairro,cantodapraia,28,9,599.5,500.0,793.0,0.0,32.142857142857146,120349.62500000001,nao_ranqueavel,,2025-01-07 a 2025-04-20,R$ por noite anunciada,"Airbnb, preços anunciados; capturas de 2025-01-06 a 2025-01-20",7,amostra_completa
bairro,areal,5,1,556.0,556.0,556.0,0.0,20.0,111617.00000000001,nao_ranqueavel,,2025-01-07 a 2025-04-20,R$ por noite anunciada,"Airbnb, preços anunciados; capturas de 2025-01-06 a 2025-01-20",7,amostra_completa
