segmento,rotulo,corte_datas,tratamento_extremos,metrica_diaria,metrica_compra,cenario_ocupacao,ocupacao_assumida,anuncios_airbnb,anuncios_vivareal,diaria_usada,preco_compra_usado,retorno_bruto_indicativo_percentual,comparavel_ranqueavel,ranking_no_cenario
centro_studio,Centro | studio,7,completa,p25,p25,conservador,0.4,0,0,,,,False,
morretes_1q,Morretes | 1 quarto,7,completa,p75,p75,otimista,0.7,4,50,491.25,750000.0,16.735249999999997,False,
outros_compactos,Outros bairros | studio/1 quarto,7,completa,p25,p25,conservador,0.4,36,141,330.6,600000.0,8.0446,True,2
outros_compactos,Outros bairros | studio/1 quarto,7,completa,p25,p25,base,0.55,36,141,330.6,600000.0,11.061325000000002,True,2
outros_compactos,Outros bairros | studio/1 quarto,7,completa,p25,p25,otimista,0.7,36,141,330.6,600000.0,14.078050000000001,True,2
outros_compactos,Outros bairros | studio/1 quarto,7,completa,p25,mediana,conservador,0.4,36,141,330.6,750000.0,6.4356800000000005,True,1
outros_compactos,Outros bairros | studio/1 quarto,7,completa,p25,mediana,base,0.55,36,141,330.6,750000.0,8.849060000000001,True,1
outros_compactos,Outros bairros | studio/1 quarto,7,completa,p25,mediana,otimista,0.7,36,141,330.6,750000.0,11.26244,True,1
outros_compactos,Outros bairros | studio/1 quarto,7,completa,p25,p75,conservador,0.4,36,141,330.6,890000.0,5.42332584269663,True,3
outros_compactos,Outros bairros | studio/1 quarto,7,completa,p25,p75,base,0.55,36,141,330.6,890000.0,7.457073033707866,True,3
outros_compactos,Outros bairros | studio/1 quarto,7,completa,p25,p75,otimista,0.7,36,141,330.6,890000.0,9.490820224719101,True,3
outros_compactos,Outros bairros | studio/1 quarto,7,completa,mediana,p25,conservador,0.4,36,141,400.0,600000.0,9.733333333333333,True,2
outros_compactos,Outros bairros | studio/1 quarto,7,completa,mediana,p25,base,0.55,36,141,400.0,600000.0,13.383333333333333,True,2
outros_compactos,Outros bairros | studio/1 quarto,7,completa,mediana,p25,otimista,0.7,36,141,400.0,600000.0,17.033333333333335,True,2
outros_compactos,Outros bairros | studio/1 quarto,7,completa,mediana,mediana,conservador,0.4,36,141,400.0,750000.0,7.786666666666667,True,1
outros_compactos,Outros bairros | studio/1 quarto,7,completa,mediana,mediana,base,0.55,36,141,400.0,750000.0,10.706666666666667,True,1
outros_compactos,Outros bairros | studio/1 quarto,7,completa,mediana,mediana,otimista,0.7,36,141,400.0,750000.0,13.626666666666667,True,1
outros_compactos,Outros bairros | studio/1 quarto,7,completa,mediana,p75,conservador,0.4,36,141,400.0,890000.0,6.561797752808989,True,2
outros_compactos,Outros bairros | studio/1 quarto,7,completa,mediana,p75,base,0.55,36,141,400.0,890000.0,9.022471910112358,True,2
outros_compactos,Outros bairros | studio/1 quarto,7,completa,mediana,p75,otimista,0.7,36,141,400.0,890000.0,11.483146067415731,True,2
outros_compactos,Outros bairros | studio/1 quarto,7,completa,p75,p25,conservador,0.4,36,141,518.25,600000.0,12.610750000000001,True,1
outros_compactos,Outros bairros | studio/1 quarto,7,completa,p75,p25,base,0.55,36,141,518.25,600000.0,17.33978125,True,1
outros_compactos,Outros bairros | studio/1 quarto,7,completa,p75,p25,otimista,0.7,36,141,518.25,600000.0,22.0688125,True,1
outros_compactos,Outros bairros | studio/1 quarto,7,completa,p75,mediana,conservador,0.4,36,141,518.25,750000.0,10.0886,True,1
outros_compactos,Outros bairros | studio/1 quarto,7,completa,p75,mediana,base,0.55,36,141,518.25,750000.0,13.871825000000001,True,1
outros_compactos,Outros bairros | studio/1 quarto,7,completa,p75,mediana,otimista,0.7,36,141,518.25,750000.0,17.65505,True,1
outros_compactos,Outros bairros | studio/1 quarto,7,completa,p75,p75,conservador,0.4,36,141,518.25,890000.0,8.501629213483145,True,1
