segmento,rotulo,metrica_diaria,metrica_preco,ocupacao_assumida,custo_variavel_assumido,preparacao_assumida,diaria_usada,preco_compra_usado,receita_bruta_anual,custos_variaveis_anuais,custos_fixos_anuais,potencial_liquido_anual,itbi_estimado,cartorio_estimado,preparacao_estimada,investimento_total_estimado,retorno_liquido_estimado_percentual,payback_estimado_anos,ocupacao_equilibrio_percentual
centro_1q,Centro | 1 quarto,mediana,p25,0.55,0.3,0.08,445.0,652500.0,89333.75,26800.125,7000.0,55533.625,9787.5,6300.74,52200.0,720788.24,7.704568681642197,12.979311903373857,6.156687702016315
centro_1q,Centro | 1 quarto,mediana,p25,0.55,0.4,0.03,445.0,652500.0,89333.75,35733.5,7000.0,46600.25,9787.5,6300.74,19575.0,688163.24,6.771685450678825,14.767372278045718,7.182802319019034
centro_1q,Centro | 1 quarto,mediana,p25,0.55,0.4,0.05,445.0,652500.0,89333.75,35733.5,7000.0,46600.25,9787.5,6300.74,32625.0,701213.24,6.645660312974125,15.047413694132542,7.182802319019034
centro_1q,Centro | 1 quarto,mediana,p25,0.55,0.4,0.08,445.0,652500.0,89333.75,35733.5,7000.0,46600.25,9787.5,6300.74,52200.0,720788.24,6.4651790101347935,15.467475818262777,7.182802319019034
centro_1q,Centro | 1 quarto,mediana,p25,0.7,0.2,0.03,445.0,652500.0,113697.5,22739.5,7000.0,83958.0,9787.5,6300.74,19575.0,688163.24,12.200302939750166,8.196517782700875,5.387101739264276
centro_1q,Centro | 1 quarto,mediana,p25,0.7,0.2,0.05,445.0,652500.0,113697.5,22739.5,7000.0,83958.0,9787.5,6300.74,32625.0,701213.24,11.973247966624246,8.351952642988161,5.387101739264276
centro_1q,Centro | 1 quarto,mediana,p25,0.7,0.2,0.08,445.0,652500.0,113697.5,22739.5,7000.0,83958.0,9787.5,6300.74,52200.0,720788.24,11.64808127280212,8.58510493341909,5.387101739264276
centro_1q,Centro | 1 quarto,mediana,p25,0.7,0.3,0.03,445.0,652500.0,113697.5,34109.25,7000.0,72588.25,9787.5,6300.74,19575.0,688163.24,10.548115008293673,9.48036686378305,6.156687702016315
centro_1q,Centro | 1 quarto,mediana,p25,0.7,0.3,0.05,445.0,652500.0,113697.5,34109.25,7000.0,72588.25,9787.5,6300.74,32625.0,701213.24,10.351808245948122,9.660148026712312,6.156687702016315
centro_1q,Centro | 1 quarto,mediana,p25,0.7,0.3,0.08,445.0,652500.0,113697.5,34109.25,7000.0,72588.25,9787.5,6300.74,52200.0,720788.24,10.070676236338151,9.929819771106205,6.156687702016315
